source,line,endpoint_expression,status
frontend_web/src/layouts/TopBarActions.tsx,777,/client-profile/pharmacies/,Source reference; not live verified
frontend_web/src/pages/MobileOTPVerify.tsx,76,/users/mobile/verify-otp/,Source reference; not live verified
frontend_web/src/pages/MobileOTPVerify.tsx,104,/users/mobile/resend-otp/,Source reference; not live verified
frontend_web/src/pages/onboarding/OwnerOnboarding.tsx,234,/billing/subscription/,Source reference; not live verified
frontend_web/src/pages/onboarding/OwnerOnboarding.tsx,355,/client-profile/pill-rewards/refer-friend/,Source reference; not live verified
frontend_mobile/app/admin/index.tsx,32,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_mobile/app/admin/index.tsx,33,/client-profile/dashboard/owner/,Source reference; not live verified
frontend_mobile/constants/api.ts,12,/users/login/,Source reference; not live verified
frontend_mobile/constants/api.ts,13,/users/register/,Source reference; not live verified
frontend_mobile/constants/api.ts,14,/users/token/refresh/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,153,/users/me/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,279,/users/login/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,336,/users/me/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,360,/users/register/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,405,/users/verify-otp/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,421,/users/resend-otp/,Source reference; not live verified
frontend_mobile/context/AuthContext.tsx,485,/users/logout/,Source reference; not live verified
frontend_mobile/roles/organization/dashboard.tsx,51,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_mobile/roles/organization/profile.tsx,68,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_mobile/roles/organization/profile.tsx,87,/client-profile/pill-rewards/refer-friend/,Source reference; not live verified
frontend_mobile/roles/owner/dashboard.tsx,72,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_mobile/roles/owner/profile.tsx,59,/billing/subscription/,Source reference; not live verified
frontend_mobile/roles/owner/profile.tsx,162,/client-profile/pill-rewards/refer-friend/,Source reference; not live verified
frontend_mobile/roles/owner/subscription-seats.tsx,43,/billing/subscription/,Source reference; not live verified
frontend_mobile/roles/owner/subscription-seats.tsx,126,/billing/subscription/seats/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,273,/client-profile/calendar-feed/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,527,/client-profile/calendar-events/${editingEventId}/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,529,/client-profile/calendar-events/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,593,/client-profile/work-notes/${editingNoteId}/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,595,/client-profile/work-notes/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,925,/client-profile/calendar-events/${baseId}/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,959,/client-profile/work-notes/${baseId}/,Source reference; not live verified
frontend_mobile/roles/shared/calendar/index.tsx,983,/client-profile/work-notes/${baseId}/${action}/,Source reference; not live verified
frontend_mobile/roles/shared/dashboard/dashboardScope.tsx,109,/client-profile/dashboard/owner/,Source reference; not live verified
frontend_mobile/roles/shared/dashboard/dashboardScope.tsx,110,/client-profile/dashboard/pharmacist/,Source reference; not live verified
frontend_mobile/roles/shared/dashboard/dashboardScope.tsx,111,/client-profile/dashboard/otherstaff/,Source reference; not live verified
frontend_mobile/roles/shared/dashboard/dashboardScope.tsx,112,/client-profile/dashboard/organization/,Source reference; not live verified
frontend_mobile/roles/shared/hub/api.ts,141,/client-profile/hub/polls/${pollId}/comments/,Source reference; not live verified
frontend_mobile/roles/shared/hub/api.ts,147,/client-profile/hub/polls/${pollId}/comments/,Source reference; not live verified
frontend_mobile/roles/shared/hub/api.ts,152,/client-profile/hub/polls/${pollId}/comments/${commentId}/,Source reference; not live verified
frontend_mobile/roles/shared/hub/api.ts,157,/client-profile/hub/polls/${pollId}/comments/${commentId}/,Source reference; not live verified
frontend_mobile/roles/shared/hub/api.ts,161,/client-profile/hub/polls/${pollId}/reactions/,Source reference; not live verified
frontend_mobile/roles/shared/hub/api.ts,168,/client-profile/hub/polls/${pollId}/reactions/,Source reference; not live verified
frontend_mobile/roles/shared/ManageMembershipsScreen.tsx,57,/client-profile/my-memberships/,Source reference; not live verified
frontend_mobile/roles/shared/ManageMembershipsScreen.tsx,75,/client-profile/my-memberships/${membership.id}/${action}/,Source reference; not live verified
frontend_mobile/roles/shared/pharmacies/membershipApi.ts,11,/client-profile/memberships/,Source reference; not live verified
frontend_mobile/roles/shared/pills/PillsScreen.tsx,76,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_mobile/roles/shared/pills/PillsScreen.tsx,77,/client-profile/pill-rewards/history/,Source reference; not live verified
frontend_mobile/roles/shared/pills/PillsScreen.tsx,78,/client-profile/pill-rewards/referrals/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/ActiveShiftsPage/hooks/useShareShift.ts,24,/client-profile/pill-rewards/refer-shift/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/ActiveShiftsPage/index.tsx,307,/client-profile/pill-rewards/pay-shift/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/ActiveShiftsPage/index.tsx,327,/billing/charge-fulfillment/${shift.id}/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/ActiveShiftsPage/index.tsx,822,/client-profile/shift-offers/${offerId}/buzz/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/ActiveShiftsView.tsx.backup,747,/billing/charge-fulfillment/${shift.id}/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/PostShiftScreen.tsx,753,/client-profile/shift-description-templates/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/PostShiftScreen.tsx,803,/client-profile/shift-description-templates/,Source reference; not live verified
frontend_mobile/roles/shared/shifts/PostShiftScreen.tsx,839,/client-profile/pharmacies/${pharmacyId}/,Source reference; not live verified
frontend_mobile/utils/apiClient.ts,121,/users/ws-ticket/,Source reference; not live verified
frontend_mobile/utils/authSession.ts,18,/users/token/refresh/,Source reference; not live verified
frontend_mobile/utils/pushNotifications.ts,70,/client-profile/device-tokens/,Source reference; not live verified
frontend_mobile/utils/unread.ts,5,/client-profile/rooms/?unread=1,Source reference; not live verified
shared-core/src/api.ts,331,/users/login/,Source reference; not live verified
shared-core/src/api.ts,334,/users/register/,Source reference; not live verified
shared-core/src/api.ts,337,/users/token/refresh/,Source reference; not live verified
shared-core/src/api.ts,340,/users/verify-otp/,Source reference; not live verified
shared-core/src/api.ts,343,/users/resend-otp/,Source reference; not live verified
shared-core/src/api.ts,346,/users/mobile/request-otp/,Source reference; not live verified
shared-core/src/api.ts,349,/users/mobile/verify-otp/,Source reference; not live verified
shared-core/src/api.ts,352,/users/mobile/resend-otp/,Source reference; not live verified
shared-core/src/api.ts,358,/users/me/,Source reference; not live verified
shared-core/src/api.ts,361,/users/password-reset/,Source reference; not live verified
shared-core/src/api.ts,364,/users/password-reset-confirm/,Source reference; not live verified
shared-core/src/api.ts,370,/users/invite-org-user/,Source reference; not live verified
shared-core/src/api.ts,374,/users/organization-memberships/${query},Source reference; not live verified
shared-core/src/api.ts,377,/users/organization-memberships/${id}/,Source reference; not live verified
shared-core/src/api.ts,380,/users/organization-memberships/${id}/,Source reference; not live verified
shared-core/src/api.ts,383,/users/organization-role-definitions/,Source reference; not live verified
shared-core/src/api.ts,386,/users/?search=${encodeURIComponent(query)},Source reference; not live verified
shared-core/src/api.ts,391,/client-profile/${safeRole}/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,396,/client-profile/${safeRole}/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,400,/client-profile/${safeRole}/onboarding/,Source reference; not live verified
shared-core/src/api.ts,405,/client-profile/${safeRole}/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,410,/client-profile/shifts/calculate-rates/,Source reference; not live verified
shared-core/src/api.ts,418,/client-profile/${safeRole}/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,424,/client-profile/onboarding/submit-reference/${token}/,Source reference; not live verified
shared-core/src/api.ts,427,/client-profile/onboarding/referee-reject/${pk}/${refIndex}/,Source reference; not live verified
shared-core/src/api.ts,430,/client-profile/owner-onboarding/claim/,Source reference; not live verified
shared-core/src/api.ts,434,/client-profile/organizations/,Source reference; not live verified
shared-core/src/api.ts,437,/client-profile/organizations/${id}/,Source reference; not live verified
shared-core/src/api.ts,440,/client-profile/organizations/,Source reference; not live verified
shared-core/src/api.ts,444,/client-profile/dashboard/organization/${orgId}/${query},Source reference; not live verified
shared-core/src/api.ts,449,/client-profile/pharmacies/${query},Source reference; not live verified
shared-core/src/api.ts,479,/client-profile/pharmacies/${id}/,Source reference; not live verified
shared-core/src/api.ts,483,/client-profile/pharmacies/,Source reference; not live verified
shared-core/src/api.ts,487,/client-profile/pharmacies/${id}/,Source reference; not live verified
shared-core/src/api.ts,490,/client-profile/pharmacies/lookup-abn/,Source reference; not live verified
shared-core/src/api.ts,493,/client-profile/pharmacies/${id}/,Source reference; not live verified
shared-core/src/api.ts,498,/client-profile/pharmacy-claims/${query},Source reference; not live verified
shared-core/src/api.ts,501,/client-profile/pharmacy-claims/${id}/,Source reference; not live verified
shared-core/src/api.ts,504,/client-profile/pharmacy-claims/${id}/approve/,Source reference; not live verified
shared-core/src/api.ts,507,/client-profile/pharmacy-claims/${id}/,Source reference; not live verified
shared-core/src/api.ts,512,/client-profile/pharmacy-admins/${query},Source reference; not live verified
shared-core/src/api.ts,515,/client-profile/pharmacy-admins/${id}/,Source reference; not live verified
shared-core/src/api.ts,518,/client-profile/pharmacy-admins/,Source reference; not live verified
shared-core/src/api.ts,521,/client-profile/pharmacy-admins/${id}/,Source reference; not live verified
shared-core/src/api.ts,541,/client-profile/chains/,Source reference; not live verified
shared-core/src/api.ts,544,/client-profile/chains/${id}/,Source reference; not live verified
shared-core/src/api.ts,547,/client-profile/chains/,Source reference; not live verified
shared-core/src/api.ts,550,/client-profile/chains/${id}/,Source reference; not live verified
shared-core/src/api.ts,553,/client-profile/chains/${id}/,Source reference; not live verified
shared-core/src/api.ts,556,/client-profile/chains/${id}/pharmacies/,Source reference; not live verified
shared-core/src/api.ts,559,/client-profile/chains/${chainId}/add_pharmacy/,Source reference; not live verified
shared-core/src/api.ts,562,/client-profile/chains/${chainId}/remove_pharmacy/,Source reference; not live verified
shared-core/src/api.ts,565,/client-profile/chains/${chainId}/add_user/,Source reference; not live verified
shared-core/src/api.ts,570,/client-profile/memberships/${query},Source reference; not live verified
shared-core/src/api.ts,574,/client-profile/my-memberships/${query},Source reference; not live verified
shared-core/src/api.ts,577,/client-profile/memberships/,Source reference; not live verified
shared-core/src/api.ts,584,/client-profile/memberships/bulk_invite/,Source reference; not live verified
shared-core/src/api.ts,591,/client-profile/memberships/${id}/,Source reference; not live verified
shared-core/src/api.ts,598,/client-profile/membership-invite-links/${query},Source reference; not live verified
shared-core/src/api.ts,601,/client-profile/membership-invite-links/,Source reference; not live verified
shared-core/src/api.ts,609,/client-profile/membership-applications/${query},Source reference; not live verified
shared-core/src/api.ts,612,/client-profile/membership-applications/${id}/approve/,Source reference; not live verified
shared-core/src/api.ts,618,/client-profile/membership-applications/${id}/reject/,Source reference; not live verified
shared-core/src/api.ts,621,/client-profile/memberships/,Source reference; not live verified
shared-core/src/api.ts,624,/client-profile/magic/memberships/${token}/,Source reference; not live verified
shared-core/src/api.ts,627,/client-profile/magic/memberships/${token}/apply/,Source reference; not live verified
shared-core/src/api.ts,632,/client-profile/community-shifts/${query},Source reference; not live verified
shared-core/src/api.ts,636,/client-profile/public-shifts/${query},Source reference; not live verified
shared-core/src/api.ts,639,/client-profile/shifts/active/,Source reference; not live verified
shared-core/src/api.ts,642,/client-profile/shifts/confirmed/,Source reference; not live verified
shared-core/src/api.ts,645,/client-profile/shifts/history/,Source reference; not live verified
shared-core/src/api.ts,648,/client-profile/my-confirmed-shifts/,Source reference; not live verified
shared-core/src/api.ts,652,/client-profile/my-history-shifts/${query},Source reference; not live verified
shared-core/src/api.ts,656,/client-profile/shift-interests/${query},Source reference; not live verified
shared-core/src/api.ts,660,/client-profile/shift-rejections/${query},Source reference; not live verified
shared-core/src/api.ts,663,/client-profile/shifts/${shiftId}/counter-offers/,Source reference; not live verified
shared-core/src/api.ts,666,/client-profile/shifts/${shiftId}/counter-offers/,Source reference; not live verified
shared-core/src/api.ts,674,/client-profile/shifts/${shiftId}/counter-offers/${offerId}/accept/${query},Source reference; not live verified
shared-core/src/api.ts,680,/client-profile/shifts/${shiftId}/counter-offers/${offerId}/reject/,Source reference; not live verified
shared-core/src/api.ts,684,/client-profile/shift-offers/${query},Source reference; not live verified
shared-core/src/api.ts,688,/client-profile/shift-offers/${offerId}/accept/,Source reference; not live verified
shared-core/src/api.ts,692,/client-profile/shift-offers/${offerId}/decline/,Source reference; not live verified
shared-core/src/api.ts,695,/client-profile/shift-offers/${offerId}/buzz/,Source reference; not live verified
shared-core/src/api.ts,698,/client-profile/community-shifts/${id},Source reference; not live verified
shared-core/src/api.ts,701,/client-profile/public-shifts/${id},Source reference; not live verified
shared-core/src/api.ts,704,/client-profile/shifts/active/${id},Source reference; not live verified
shared-core/src/api.ts,707,/client-profile/shifts/active/${id}/,Source reference; not live verified
shared-core/src/api.ts,711,/client-profile/shifts/${id}/member_status/${query},Source reference; not live verified
shared-core/src/api.ts,714,/client-profile/shifts/confirmed/${id}/,Source reference; not live verified
shared-core/src/api.ts,717,/client-profile/shifts/${id}/,Source reference; not live verified
shared-core/src/api.ts,720,/client-profile/community-shifts/,Source reference; not live verified
shared-core/src/api.ts,723,/client-profile/community-shifts/${id}/,Source reference; not live verified
shared-core/src/api.ts,726,/client-profile/community-shifts/${id}/,Source reference; not live verified
shared-core/src/api.ts,729,/client-profile/community-shifts/${id}/claim-shift/,Source reference; not live verified
shared-core/src/api.ts,735,/client-profile/shifts/${id}/express_interest/,Source reference; not live verified
shared-core/src/api.ts,741,/client-profile/community-shifts/${id}/express_interest/,Source reference; not live verified
shared-core/src/api.ts,747,/client-profile/public-shifts/${id}/express_interest/,Source reference; not live verified
shared-core/src/api.ts,753,/client-profile/shifts/${id}/reveal_profile/,Source reference; not live verified
shared-core/src/api.ts,759,/client-profile/shifts/${id}/accept_user/,Source reference; not live verified
shared-core/src/api.ts,762,/client-profile/community-shifts/${id}/escalate/,Source reference; not live verified
shared-core/src/api.ts,766,/client-profile/community-shifts/${id}/member_status/${query},Source reference; not live verified
shared-core/src/api.ts,769,/client-profile/community-shifts/${id}/reject/,Source reference; not live verified
shared-core/src/api.ts,775,/client-profile/shifts/${id}/reject/,Source reference; not live verified
shared-core/src/api.ts,781,/client-profile/shifts/${type}/${id}/view_assigned_profile/,Source reference; not live verified
shared-core/src/api.ts,787,/client-profile/shifts/${id}/generate-share-link/,Source reference; not live verified
shared-core/src/api.ts,791,/client-profile/shifts/owner/${query},Source reference; not live verified
shared-core/src/api.ts,794,/client-profile/shifts/,Source reference; not live verified
shared-core/src/api.ts,797,/client-profile/shifts/${id}/,Source reference; not live verified
shared-core/src/api.ts,800,/client-profile/shifts/${id}/applications/,Source reference; not live verified
shared-core/src/api.ts,803,/client-profile/shifts/${shiftId}/applications/${applicationId}/accept/,Source reference; not live verified
shared-core/src/api.ts,806,/client-profile/shifts/${shiftId}/applications/${applicationId}/reject/,Source reference; not live verified
shared-core/src/api.ts,810,/client-profile/public-job-board/${query},Source reference; not live verified
shared-core/src/api.ts,814,/client-profile/view-shared-shift/?${query},Source reference; not live verified
shared-core/src/api.ts,817,/client-profile/organizations/public/${slug}/,Source reference; not live verified
shared-core/src/api.ts,987,/client-profile/shifts/active/${shiftId}/escalate/,Source reference; not live verified
shared-core/src/api.ts,1055,/client-profile/roster-owner/${query},Source reference; not live verified
shared-core/src/api.ts,1059,/client-profile/roster-worker/${query},Source reference; not live verified
shared-core/src/api.ts,1062,/client-profile/roster/create-and-assign-shift/,Source reference; not live verified
shared-core/src/api.ts,1065,/client-profile/roster-shifts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1068,/client-profile/roster-shifts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1075,/client-profile/roster-shifts/${id}/escalate/,Source reference; not live verified
shared-core/src/api.ts,1079,/client-profile/roster-shifts/list-open-shifts/${query},Source reference; not live verified
shared-core/src/api.ts,1082,/client-profile/roster-shifts/create-open-shift/,Source reference; not live verified
shared-core/src/api.ts,1085,/client-profile/roster-owner/${id}/,Source reference; not live verified
shared-core/src/api.ts,1088,/client-profile/roster-owner/members-for-roster/?pharmacy_id=${pharmacyId},Source reference; not live verified
shared-core/src/api.ts,1091,/client-profile/roster-worker/pharmacies/,Source reference; not live verified
shared-core/src/api.ts,1137,/client-profile/leave-requests/,Source reference; not live verified
shared-core/src/api.ts,1140,/client-profile/leave-requests/,Source reference; not live verified
shared-core/src/api.ts,1143,/client-profile/leave-requests/${id}/,Source reference; not live verified
shared-core/src/api.ts,1146,/client-profile/leave-requests/${id}/approve/,Source reference; not live verified
shared-core/src/api.ts,1149,/client-profile/leave-requests/${id}/reject/,Source reference; not live verified
shared-core/src/api.ts,1152,/client-profile/leave-requests/${id}/,Source reference; not live verified
shared-core/src/api.ts,1156,/client-profile/worker-shift-requests/${query},Source reference; not live verified
shared-core/src/api.ts,1159,/client-profile/worker-shift-requests/,Source reference; not live verified
shared-core/src/api.ts,1162,/client-profile/worker-shift-requests/${id}/,Source reference; not live verified
shared-core/src/api.ts,1165,/client-profile/worker-shift-requests/${id}/approve/,Source reference; not live verified
shared-core/src/api.ts,1168,/client-profile/worker-shift-requests/${id}/reject/,Source reference; not live verified
shared-core/src/api.ts,1171,/client-profile/worker-shift-requests/${id}/,Source reference; not live verified
shared-core/src/api.ts,1209,/client-profile/user-availability/,Source reference; not live verified
shared-core/src/api.ts,1212,/client-profile/user-availability/${id}/,Source reference; not live verified
shared-core/src/api.ts,1215,/client-profile/user-availability/,Source reference; not live verified
shared-core/src/api.ts,1218,/client-profile/user-availability/${id}/,Source reference; not live verified
shared-core/src/api.ts,1221,/client-profile/user-availability/${id}/,Source reference; not live verified
shared-core/src/api.ts,1241,/client-profile/pill-rewards/balance/,Source reference; not live verified
shared-core/src/api.ts,1245,/client-profile/pill-rewards/rules/,Source reference; not live verified
shared-core/src/api.ts,1249,/client-profile/pill-rewards/referral-code/,Source reference; not live verified
shared-core/src/api.ts,1254,/client-profile/pill-rewards/history/${query},Source reference; not live verified
shared-core/src/api.ts,1259,/client-profile/pill-rewards/referrals/${query},Source reference; not live verified
shared-core/src/api.ts,1263,/client-profile/pill-rewards/refer-friend/,Source reference; not live verified
shared-core/src/api.ts,1270,/client-profile/pill-rewards/refer-shift/,Source reference; not live verified
shared-core/src/api.ts,1277,/client-profile/pill-rewards/claim/,Source reference; not live verified
shared-core/src/api.ts,1285,/client-profile/invoices/,Source reference; not live verified
shared-core/src/api.ts,1288,/client-profile/invoices/${id}/,Source reference; not live verified
shared-core/src/api.ts,1291,/client-profile/invoices/,Source reference; not live verified
shared-core/src/api.ts,1294,/client-profile/invoices/${id}/,Source reference; not live verified
shared-core/src/api.ts,1297,/client-profile/invoices/${id}/,Source reference; not live verified
shared-core/src/api.ts,1301,/client-profile/invoices/generate/,Source reference; not live verified
shared-core/src/api.ts,1304,/client-profile/invoices/preview/${id}/,Source reference; not live verified
shared-core/src/api.ts,1311,/client-profile/invoices/${id}/send/,Source reference; not live verified
shared-core/src/api.ts,1348,/client-profile/notifications/?page=${page},Source reference; not live verified
shared-core/src/api.ts,1351,/client-profile/notifications/mark-read/,Source reference; not live verified
shared-core/src/api.ts,1379,/client-profile/explorer-posts/,Source reference; not live verified
shared-core/src/api.ts,1382,/client-profile/explorer-posts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1386,/client-profile/explorer-posts/feed/${query},Source reference; not live verified
shared-core/src/api.ts,1390,/client-profile/explorer-posts/public-feed/${query},Source reference; not live verified
shared-core/src/api.ts,1393,/client-profile/explorer-posts/by-profile/${profileId}/,Source reference; not live verified
shared-core/src/api.ts,1396,/client-profile/explorer-posts/${id}/view/,Source reference; not live verified
shared-core/src/api.ts,1399,/client-profile/explorer-posts/${id}/like/,Source reference; not live verified
shared-core/src/api.ts,1402,/client-profile/explorer-posts/${id}/unlike/,Source reference; not live verified
shared-core/src/api.ts,1406,/client-profile/explorer-posts/,Source reference; not live verified
shared-core/src/api.ts,1410,/client-profile/explorer/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,1413,/client-profile/explorer/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,1419,/client-profile/explorer/onboarding/me/,Source reference; not live verified
shared-core/src/api.ts,1426,/client-profile/explorer-posts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1429,/client-profile/explorer-posts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1434,/client-profile/ratings/${query},Source reference; not live verified
shared-core/src/api.ts,1437,/client-profile/ratings/,Source reference; not live verified
shared-core/src/api.ts,1441,/client-profile/ratings/summary/${query},Source reference; not live verified
shared-core/src/api.ts,1445,/client-profile/ratings/mine/${query},Source reference; not live verified
shared-core/src/api.ts,1448,/client-profile/ratings/pending/,Source reference; not live verified
shared-core/src/api.ts,1487,/client-profile/dashboard/owner/${query},Source reference; not live verified
shared-core/src/api.ts,1491,/client-profile/dashboard/pharmacist/${query},Source reference; not live verified
shared-core/src/api.ts,1495,/client-profile/dashboard/otherstaff/${query},Source reference; not live verified
shared-core/src/api.ts,1498,/client-profile/dashboard/explorer/,Source reference; not live verified
shared-core/src/api.ts,1502,/client-profile/hub/context/,Source reference; not live verified
shared-core/src/api.ts,1506,/client-profile/hub/groups/${query},Source reference; not live verified
shared-core/src/api.ts,1510,/client-profile/hub/groups/${id}/${params},Source reference; not live verified
shared-core/src/api.ts,1513,/client-profile/hub/groups/,Source reference; not live verified
shared-core/src/api.ts,1516,/client-profile/hub/groups/${id}/,Source reference; not live verified
shared-core/src/api.ts,1519,/client-profile/hub/groups/${id}/,Source reference; not live verified
shared-core/src/api.ts,1523,/client-profile/hub/posts/${query},Source reference; not live verified
shared-core/src/api.ts,1526,/client-profile/hub/posts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1529,/client-profile/hub/posts/,Source reference; not live verified
shared-core/src/api.ts,1532,/client-profile/hub/posts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1535,/client-profile/hub/posts/${id}/,Source reference; not live verified
shared-core/src/api.ts,1538,/client-profile/hub/posts/${id}/pin/,Source reference; not live verified
shared-core/src/api.ts,1541,/client-profile/hub/posts/${id}/unpin/,Source reference; not live verified
shared-core/src/api.ts,1544,/client-profile/hub/posts/${postId}/comments/,Source reference; not live verified
shared-core/src/api.ts,1547,/client-profile/hub/posts/${postId}/comments/,Source reference; not live verified
shared-core/src/api.ts,1550,/client-profile/hub/posts/${postId}/comments/${commentId}/,Source reference; not live verified
shared-core/src/api.ts,1553,/client-profile/hub/posts/${postId}/comments/${commentId}/,Source reference; not live verified
shared-core/src/api.ts,1556,/client-profile/hub/posts/${postId}/reactions/,Source reference; not live verified
shared-core/src/api.ts,1562,/client-profile/hub/posts/${postId}/reactions/,Source reference; not live verified
shared-core/src/api.ts,1565,/client-profile/hub/posts/${postId}/comments/${commentId}/reactions/,Source reference; not live verified
