source,line,query_key,status
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1382,claim,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1384,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1433,action,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1861,action,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1862,pharmacyId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,330,edit,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,331,embedded,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,333,pharmacy,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,333,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,334,role,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,334,role_needed,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,335,date,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,335,slot_date,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,336,dates,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,336,slot_dates,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,337,start_time,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,337,start,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,338,end_time,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,338,end,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,339,visibility,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,340,employment_type,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,341,dedicated_user,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,341,dedicated_user_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/RosterOwnerPage.tsx,156,pharmacy,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/RosterOwnerPage.tsx,156,admin_pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/RosterWorkerPage.tsx,217,pharmacy,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/RosterWorkerPage.tsx,217,admin_pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/TalentBoard/index.tsx,726,publish_availability,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/TalentBoard/index.tsx,727,pitch,Preserve existing link semantics
frontend_web/src/pages/MobileCheckoutReturnPage.tsx,9,path,Preserve existing link semantics
frontend_web/src/pages/PublicJobBoardPage.tsx,103,organization,Preserve existing link semantics
frontend_web/src/pages/PublicJobBoardPage.tsx,186,organization,Preserve existing link semantics
frontend_web/src/pages/register.tsx,31,referral_code,Preserve existing link semantics
frontend_web/src/pages/register.tsx,32,referral_shift_id,Preserve existing link semantics
frontend_web/src/pages/register.tsx,33,referral_event_id,Preserve existing link semantics
frontend_web/src/pages/SharedShiftLandingPage.tsx,43,token,Preserve existing link semantics
frontend_web/src/pages/SharedShiftLandingPage.tsx,44,referral_code,Preserve existing link semantics
frontend_web/src/pages/SharedShiftLandingPage.tsx,45,referral_event_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,120,conversationId,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,120,conversation_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,135,pharmacy_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,135,pharmacyId,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,136,date,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,137,note_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,137,noteId,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,162,scope,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,163,pharmacy_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,164,organization_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,165,group_id,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,166,platform_hub,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,167,post,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,198,pharmacyId,Preserve existing link semantics
frontend_mobile/utils/notificationNavigation.ts,199,pharmacy_id,Preserve existing link semantics
